windspeed_mps,power_kW
18.507456,847.3333333
18.55216,847.5
18.596864,847.6666667
18.641568,847.8333333
18.686272,848
18.730976,848.1666667
18.77568,848.3333333
18.820384,848.5
18.865088,848.6666667
18.909792,848.8333333
18.954496,849
18.9992,849.1666667
19.043904,849.3333333
19.088608,849.5
19.133312,849.6666667
19.178016,849.8333333
19.22272,850
19.267424,850
19.312128,850
19.356832,850
19.401536,850
19.44624,850
19.490944,850
19.535648,850
19.580352,850
19.625056,850
19.66976,850
19.714464,850
19.759168,850
19.803872,850
19.848576,850
19.89328,850
19.937984,850
19.982688,850
20.027392,850
20.072096,850
20.1168,850
20.161504,850
20.206208,850
20.250912,850
20.295616,850
20.34032,850
20.385024,850
20.429728,850
20.474432,850
20.519136,850
20.56384,850
20.608544,850
20.653248,850
20.697952,850
20.742656,850
20.78736,850
20.832064,850
20.876768,850
20.921472,850
20.966176,850
21.01088,850
21.055584,850
21.100288,850
21.144992,850
21.189696,850
21.2344,850
21.279104,850
21.323808,850
21.368512,850
21.413216,850
21.45792,850
21.502624,850
21.547328,850
21.592032,850
21.636736,850
21.68144,850
21.726144,850
21.770848,850
21.815552,850
21.860256,850
21.90496,850
21.949664,850
21.994368,850
22.039072,850
22.083776,850
22.12848,850
22.173184,850
22.217888,850
22.262592,850
22.307296,850
22.352,850
22.396704,850
22.441408,850
22.486112,850
22.530816,850
22.57552,850
22.620224,850
22.664928,850
22.709632,850
22.754336,850
22.79904,850
22.843744,850
22.888448,850
22.933152,850
22.977856,850
23.02256,850
23.067264,850
23.111968,850
23.156672,850
23.201376,850
23.24608,850
23.290784,850
23.335488,850
23.380192,850
23.424896,850
23.4696,850
23.514304,850
23.559008,850
23.603712,850
23.648416,850
23.69312,850
23.737824,850
23.782528,850
23.827232,850
23.871936,850
23.91664,850
23.961344,850
24.006048,850
24.050752,850
24.095456,850
24.14016,850
24.184864,850
24.229568,850
24.274272,850
24.318976,850
24.36368,850
24.408384,850
24.453088,850
24.497792,850
24.542496,850
24.5872,850
24.631904,850
24.676608,850
24.721312,850
24.766016,850
24.81072,850
24.855424,850
24.900128,850
24.944832,850
24.989536,850
25.03424,850
25.078944,807.5
25.123648,765
25.168352,722.5
25.213056,680
25.25776,637.5
25.302464,595
25.347168,552.5
25.391872,510
25.436576,467.5
25.48128,425
25.525984,382.5
25.570688,340
25.615392,297.5
25.660096,255
25.7048,212.5
25.749504,170
25.794208,127.5
25.838912,85
25.883616,42.5
25.92832,0
25.973024,0
26.017728,0
26.062432,0
26.107136,0
26.15184,0
26.196544,0
26.241248,0
26.285952,0
26.330656,0
26.37536,0
26.420064,0
26.464768,0
26.509472,0
26.554176,0
26.59888,0
26.643584,0
26.688288,0
26.732992,0
26.777696,0
26.8224,0
26.867104,0
26.911808,0
26.956512,0
27.001216,0
27.04592,0
27.090624,0
27.135328,0
27.180032,0
27.224736,0
27.26944,0
27.314144,0
27.358848,0
27.403552,0
27.448256,0
27.49296,0
27.537664,0
27.582368,0
27.627072,0
27.671776,0
27.71648,0
27.761184,0
27.805888,0
27.850592,0
27.895296,0
27.94,0
27.984704,0
28.029408,0
28.074112,0
28.118816,0
28.16352,0
28.208224,0
28.252928,0
28.297632,0
28.342336,0
28.38704,0
28.431744,0
28.476448,0
28.521152,0
28.565856,0
28.61056,0
28.655264,0
28.699968,0
28.744672,0
28.789376,0
28.83408,0
28.878784,0
28.923488,0
28.968192,0
29.012896,0
29.0576,0
29.102304,0
29.147008,0
29.191712,0
29.236416,0
29.28112,0
29.325824,0
29.370528,0
29.415232,0
29.459936,0
29.50464,0
29.549344,0
29.594048,0
29.638752,0
29.683456,0
29.72816,0
29.772864,0
29.817568,0
29.862272,0
29.906976,0
29.95168,0
29.996384,0
